#{"t_start": 1744979902.2725468, "env_id": "None"}
r,l,t
0.0,1,3.759984
0.0,1,3.797986
0.0,1,3.836985
0.0,1,3.877983
0.0,1,3.914983
0.0,1,3.951982
0.0,1,3.993982
0.0,1,4.032984
0.0,1,4.068982
0.0,1,4.112995
0.0,1,4.157998
0.0,1,4.201984
0.0,1,4.238984
0.0,1,4.274982
0.0,1,4.315981
0.0,1,4.351981
0.0,1,4.387984
0.0,1,4.426983
0.0,1,4.469984
0.0,1,4.515982
0.0,1,4.568981
0.0,1,4.653981
0.0,1,4.692984
0.0,1,4.733981
0.0,1,4.775981
0.0,1,4.82098
0.0,1,4.863983
0.0,1,4.90198
0.0,1,4.944983
0.0,1,4.984982
0.0,1,5.027981
0.0,1,5.063982
0.0,1,5.10498
0.0,1,5.147983
0.0,1,5.18398
0.0,1,5.223979
0.0,1,5.262995
0.0,1,5.29898
0.0,1,5.340979
0.0,1,5.376983
0.0,1,5.420979
0.0,1,5.457982
0.0,1,5.49198
0.0,1,5.526983
0.0,1,5.565979
0.0,1,5.598979
0.0,1,5.633978
0.0,1,5.672994
0.0,1,5.708981
0.0,1,5.745983
0.0,1,5.78898
0.0,1,5.826981
0.0,1,5.872981
0.0,1,5.915979
0.0,1,5.956979
0.0,1,6.036978
0.0,1,6.07198
0.0,1,6.107978
0.0,1,6.142979
0.0,1,6.17898
0.0,1,6.221977
0.0,1,6.257979
0.0,1,6.295984
0.0,1,6.336978
0.0,1,6.369977
0.0,1,6.403976
0.0,1,6.442979
0.0,1,6.47798
0.0,1,6.512977
0.0,1,6.550979
0.0,1,6.591977
0.0,1,6.626979
0.0,1,6.666976
0.0,1,6.704976
0.0,1,6.739977
0.0,1,6.779979
0.0,1,6.814976
0.0,1,6.848976
0.0,1,6.884975
0.0,1,6.922987
0.0,1,6.969977
